Artist,Nacionality,Gender,BirthYear,DeathYear,TotalArtwork,Categories
Duan Jinchuan,Chinese,Female,1962,-1,1,"{""Media and Performance Art"": 1}"
Ed Bowes,American,Male,1944,-1,2,"{""Media and Performance Art"": 2}"
Edward Rankus,American,Male,1953,-1,1,"{""Media and Performance Art"": 1}"
Elizabeth van der Zaag,Canadian,Female,1952,-1,1,"{""Media and Performance Art"": 1}"
Ellen Spiro,American,Female,1964,-1,2,"{""Media and Performance Art"": 2}"
Enrique Aguerre,Uruguayan,Male,1964,-1,1,"{""Media and Performance Art"": 1}"
Ernest Gusella,Canadian,Male,1941,-1,2,"{""Media and Performance Art"": 2}"
Francesc Torres,Spanish,Male,1948,-1,1,"{""Media and Performance Art"": 1}"
Fujiko Nakaya,Japanese,Female,1933,-1,1,"{""Media and Performance Art"": 1}"
Hakudo Kobayashi,Japanese,Male,1944,-1,1,"{""Media and Performance Art"": 1}"
Gabor Body,Hungarian,Male,1946,1985,1,"{""Media and Performance Art"": 1}"
Gloria Camiruaga,Chilean,Female,1940,2006,1,"{""Media and Performance Art"": 1}"
Pablo Lavin,Chilean,Male,1948,-1,1,"{""Media and Performance Art"": 1}"
Gusztáv Hámos,Hungarian,Male,1955,-1,2,"{""Media and Performance Art"": 2}"
Guy Ben-Ner,Israeli,Male,1969,-1,1,"{""Media and Performance Art"": 1}"
Hans Breder,German,Male,1935,-1,1,"{""Media and Performance Art"": 1}"
Hironori Terai,Japanese,Male,1961,-1,1,"{""Media and Performance Art"": 1}"
Hitoshi Takekiyo,Japanese,Male,1967,-1,1,"{""Media and Performance Art"": 1}"
Ian Breakwell,British,Male,1943,2005,5,"{""Media and Performance Art"": 5}"
Beryl Korot,American,Female,1945,-1,1,"{""Media and Performance Art"": 1}"
Jan Peacock,Canadian,Female,1955,-1,1,"{""Media and Performance Art"": 1}"
Jean Carlomusto,American,Female,1959,-1,1,"{""Media and Performance Art"": 1}"
Jean-Baptiste Mondino,French,Male,1949,-1,1,"{""Media and Performance Art"": 1}"
Jeanette Reinhardt,Canadian,Female,1954,-1,1,"{""Media and Performance Art"": 1}"
Jöelle de la Casinière,French,Female,1944,-1,1,"{""Media and Performance Art"": 1}"
John Adams,British,Male,1953,-1,2,"{""Media and Performance Art"": 2}"
Jorge Furtado,Brazilian,Male,1959,-1,1,"{""Media and Performance Art"": 1}"
Kathy High,American,Female,1954,-1,1,"{""Media and Performance Art"": 1}"
Katsuhiro Yamaguchi,Japanese,Male,1928,-1,5,"{""Media and Performance Art"": 1, ""Painting & Sculpture"": 4}"
Katsuya Taka,Japanese,Male,1963,-1,1,"{""Media and Performance Art"": 1}"
Keigo Yamamoto,Japanese,Male,1936,-1,3,"{""Media and Performance Art"": 3}"
Klaudia Kemper,Chilean,Female,1966,-1,1,"{""Media and Performance Art"": 1}"
Ko Nakajima,Japanese,Male,1941,-1,2,"{""Media and Performance Art"": 2}"
Koen Theys,Belgian,Male,1963,-1,1,"{""Media and Performance Art"": 1}"
Kumiko Kushiyama,Japanese,Female,1959,-1,1,"{""Media and Performance Art"": 1}"
Kunio Noda,Japanese,Male,1962,-1,1,"{""Media and Performance Art"": 1}"
Laura Cottingham,American,Female,1959,-1,1,"{""Media and Performance Art"": 1}"
Li Hong,Chinese,Female,1941,-1,1,"{""Media and Performance Art"": 1}"
Liang Yue,Chinese,Female,1979,-1,2,"{""Media and Performance Art"": 2}"
Laura Poitras,American,Female,1964,-1,2,"{""Film"": 2}"
Lu Chunsheng,Chinese,Female,1966,-1,1,"{""Media and Performance Art"": 1}"
Marcela Poch,Chilean,Female,1964,-1,1,"{""Media and Performance Art"": 1}"
Max Almy,American,Female,1948,-1,1,"{""Media and Performance Art"": 1}"
Maxi Cohen,American,Female,1949,-1,3,"{""Media and Performance Art"": 3}"
Michael Klier,Czech,Male,1943,-1,1,"{""Media and Performance Art"": 1}"
Michel Gondry,French,Male,1963,-1,1,"{""Film"": 1}"
Morihiro Wada,Japanese,Male,1947,2007,1,"{""Media and Performance Art"": 1}"
Nan Hoover,American,Female,1931,2008,7,"{""Media and Performance Art"": 7}"
Naoko Tosa,Japanese,Female,1961,-1,1,"{""Media and Performance Art"": 1}"
Nelson Henricks,Canadian,Male,1963,-1,7,"{""Media and Performance Art"": 7}"
Nestor Olhagaray,Chilean,Male,1946,-1,1,"{""Media and Performance Art"": 1}"
