Artist,Nacionality,Gender,BirthYear,DeathYear,TotalArtwork,Categories
Dusan Dzamonja,Yugoslav,Male,1928,2009,1,"{""Drawings"": 1}"
Arnold Eagle,American,Male,1909,1992,1,"{""Photography"": 1}"
Charles Eames,American,Male,1907,1978,19,"{""Architecture & Design"": 18, ""Photography"": 1}"
Ray Eames,American,Female,1912,1988,1,"{""Prints & Illustrated Books"": 1}"
Josef Eberz,German,Male,1880,1942,5,"{""Prints & Illustrated Books"": 4, ""Drawings"": 1}"
José Echavé,Spanish,Male,1907,1999,1,"{""Architecture & Design"": 1}"
Christian Eckart,Canadian,Male,1959,-1,1,"{""Prints & Illustrated Books"": 1}"
Thomas Eckersley,British,Male,1914,1997,18,"{""Architecture & Design"": 18}"
Don Eddy,American,Male,1944,-1,3,"{""Prints & Illustrated Books"": 3}"
Doug Edge,American,Male,1942,-1,1,"{""Prints & Illustrated Books"": 1}"
Dr. Harold E. Edgerton,American,Male,1903,1990,29,"{""Photography"": 29}"
Leonard Edmonson,American,Male,1916,-1,1,"{""Prints & Illustrated Books"": 1}"
John Paul Edwards,American,Male,1883,1968,19,"{""Photography"": 19}"
Melvin Edwards,American,Male,1937,-1,9,"{""Drawings"": 2, ""Painting & Sculpture"": 6, ""Prints & Illustrated Books"": 1}"
Edouard-Léon-Louis Edy-Legrand,French,Male,1892,1970,53,"{""Prints & Illustrated Books"": 53}"
William Eggleston,American,Male,1939,-1,219,"{""Photography"": 219}"
Otto Eglau,German,Male,1917,1988,2,"{""Prints & Illustrated Books"": 2}"
Shyu Eguchi,Japanese,Male,1932,-1,1,"{""Painting & Sculpture"": 1}"
Georg Ehrlich,British,Male,1897,1966,2,"{""Prints & Illustrated Books"": 2}"
Marli Ehrman,American,Female,1904,1982,20,"{""Architecture & Design"": 20}"
Fritz Eichenberg,American,Male,1901,1990,1,"{""Prints & Illustrated Books"": 1}"
Hans Eichenberger,Swiss,Male,1926,-1,1,"{""Architecture & Design"": 1}"
Hermann Eidenbenz,Swiss,Male,1902,1993,4,"{""Architecture & Design"": 4}"
Jorge Eielson,Peruvian,Male,1924,2006,1,"{""Painting & Sculpture"": 1}"
Horst Eigen,German,Male,1942,-1,1,"{""Architecture & Design"": 1}"
Louis Michel Eilshemius,American,Male,1864,1941,10,"{""Drawings"": 7, ""Painting & Sculpture"": 3}"
George Einbeck,German,Male,1871,1951,1,"{""Architecture & Design"": 1}"
Lette Eisenhauer,American,Female,1935,-1,1,"{""Prints & Illustrated Books"": 1}"
Chester Eisenhuth,American,Male,1910,1994,3,"{""Photography"": 3}"
Alfred Eisenstaedt,American,Male,1898,1995,3,"{""Photography"": 3}"
Sergei Eisenstein,Russian,Male,1898,1948,9,"{""Drawings"": 6, ""Film"": 3}"
Jacob El Hanani,Israeli,Male,1947,-1,6,"{""Drawings"": 6}"
Dick Elffers,Dutch,Male,1910,1990,4,"{""Architecture & Design"": 4}"
Elise (Elise Seeds Armitage),American,Female,1902,1963,3,"{""Prints & Illustrated Books"": 3}"
Eliot Elisofon,American,Male,1911,1973,8,"{""Drawings"": 1, ""Photography"": 7}"
Ronnie Elliott,American,Male,1916,1982,1,"{""Drawings"": 1}"
Kosso Eloul,American,Male,1920,1995,1,"{""Prints & Illustrated Books"": 1}"
Peter Henry Emerson,British,Male,1856,1936,33,"{""Photography"": 33}"
Herman Emmet,American,Male,1943,-1,2,"{""Photography"": 2}"
Chansonetta Stanley Emmons,American,Female,1858,1937,1,"{""Photography"": 1}"
August Endell,German,Male,1871,1925,1,"{""Architecture & Design"": 1}"
Jules Engel,American,Male,1909,2003,18,"{""Prints & Illustrated Books"": 18}"
Morris Engel,American,Male,1918,2005,6,"{""Photography"": 3, ""Film"": 3}"
Engel-Pak,Belgian,Male,1885,1965,1,"{""Prints & Illustrated Books"": 1}"
Michael Engelmann,American,Male,1928,1966,10,"{""Architecture & Design"": 10}"
Pieter Engels,Dutch,Male,1938,-1,1,"{""Prints & Illustrated Books"": 1}"
William England,British,Male,1816,1896,1,"{""Photography"": 1}"
Horace M. Engle,American,Male,1861,1949,13,"{""Photography"": 13}"
Michael English,British,Male,1941,2009,1,"{""Architecture & Design"": 1}"
Robert Engman,American,Male,1927,-1,1,"{""Painting & Sculpture"": 1}"
James Ensor,Belgian,Male,1860,1949,114,"{""Prints & Illustrated Books"": 112, ""Painting & Sculpture"": 2}"
Jacob Epstein,British,Male,1880,1959,16,"{""Drawings"": 3, ""Painting & Sculpture"": 13}"
Mitch Epstein,American,Male,1952,-1,3,"{""Photography"": 3}"
Stephan Erfurt,German,Male,1958,-1,1,"{""Photography"": 1}"
Hugo Erfurth,German,Male,1874,1948,5,"{""Photography"": 5}"
Boris Nicolaevich Ermolaev,Russian,Male,1903,-1,1,"{""Prints & Illustrated Books"": 1}"
Hans Erni,Swiss,Male,1909,2015,81,"{""Architecture & Design"": 9, ""Prints & Illustrated Books"": 72}"
Jimmy Ernst,American,Male,1920,1984,2,"{""Painting & Sculpture"": 2}"
Max Ernst,French,Male,1891,1976,227,"{""Architecture & Design"": 3, ""Prints & Illustrated Books"": 190, ""Drawings"": 17, ""Painting & Sculpture"": 17}"
Erol (Erol Akyavas),Turkish,Male,1932,1999,1,"{""Painting & Sculpture"": 1}"
Erro (Gudmundur Gudmundsson),Icelandic,Male,1932,-1,2,"{""Prints & Illustrated Books"": 2}"
Elliott Erwitt,American,Male,1928,-1,54,"{""Photography"": 54}"
M. C. Escher,Dutch,Male,1898,1972,4,"{""Prints & Illustrated Books"": 4}"
Jesús Escobedo,Mexican,Male,1918,1978,5,"{""Prints & Illustrated Books"": 5}"
John K. Esler,Canadian,Male,1933,-1,2,"{""Prints & Illustrated Books"": 2}"
Georges D'espagnat,French,Male,1870,1950,4,"{""Prints & Illustrated Books"": 4}"
Reed Estabrook,American,Male,1944,-1,5,"{""Photography"": 5}"
Richard Estes,American,Male,1936,-1,11,"{""Prints & Illustrated Books"": 10, ""Painting & Sculpture"": 1}"
Roberto Estopinán,Cuban,Male,1920,2015,2,"{""Drawings"": 2}"
Sorel Etrog,Canadian,Male,1933,2014,3,"{""Prints & Illustrated Books"": 2, ""Painting & Sculpture"": 1}"
Alex J. Ettl,American,Male,1898,1992,2,"{""Architecture & Design"": 2}"
Karen Eubel,American,Female,1942,-1,2,"{""Prints & Illustrated Books"": 2}"
Frank Eugene,American,Male,1865,1936,5,"{""Photography"": 5}"
Richard Eurich,British,Male,1903,1992,1,"{""Painting & Sculpture"": 1}"
Dennis Evans,American,Male,1946,-1,1,"{""Drawings"": 1}"
Frederick H. Evans,British,Male,1853,1943,12,"{""Photography"": 12}"
Garth Evans,British,Male,1934,-1,1,"{""Drawings"": 1}"
Walker Evans,American,Male,1903,1975,361,"{""Photography"": 361}"
Jean Ève,French,Male,1900,1968,1,"{""Painting & Sculpture"": 1}"
Henri Evenepoel,French,Male,1872,1899,2,"{""Architecture & Design"": 1, ""Prints & Illustrated Books"": 1}"
Philip Evergood,American,Male,1901,1973,5,"{""Drawings"": 1, ""Prints & Illustrated Books"": 3, ""Painting & Sculpture"": 1}"
Connor Everts,American,Male,1928,2016,3,"{""Drawings"": 1, ""Prints & Illustrated Books"": 2}"
Juanita (Jean) Exley,American,Female,1927,-1,1,"{""Prints & Illustrated Books"": 1}"
Alexandra Exter,Russian,Female,1882,1949,28,"{""Prints & Illustrated Books"": 6, ""Drawings"": 19, ""Painting & Sculpture"": 3}"
Hans Fabigan,Austrian,Male,1901,1975,4,"{""Architecture & Design"": 4}"
Luciano Fabro,Italian,Male,1936,2007,1,"{""Painting & Sculpture"": 1}"
Charles Fahlen,American,Male,1939,2010,2,"{""Drawings"": 1, ""Painting & Sculpture"": 1}"
Öyvind Fahlström,Swedish,Male,1928,1976,19,"{""Prints & Illustrated Books"": 12, ""Drawings"": 5, ""Painting & Sculpture"": 1, ""Media and Performance Art"": 1}"
Ekkehard Fahr,German,Male,1934,-1,1,"{""Architecture & Design"": 1}"
Patrick Faigenbaum,French,Male,1954,-1,3,"{""Photography"": 3}"
Jules-Abel Faivre,French,Male,1867,1945,2,"{""Architecture & Design"": 2}"
Claire Falkenstein,American,Female,1908,1997,1,"{""Prints & Illustrated Books"": 1}"
James (Arthur) Fallon,American,Male,1946,-1,1,"{""Photography"": 1}"
Charles Famin,French,Male,1809,-1,1,"{""Photography"": 1}"
Louis Fancher,American,Male,1884,1944,1,"{""Architecture & Design"": 1}"
Wojciech Fangor,Polish,Male,1922,2015,3,"{""Prints & Illustrated Books"": 1, ""Painting & Sculpture"": 1, ""Film"": 1}"
Henri Fantin-Latour,French,Male,1836,1904,2,"{""Prints & Illustrated Books"": 2}"
Nathan Farb,American,Male,1941,-1,2,"{""Photography"": 2}"
William Fares,American,Male,1942,-1,2,"{""Prints & Illustrated Books"": 2}"
Farfa,Italian,Male,1881,1964,2,"{""Prints & Illustrated Books"": 2}"
Thomaz Farkas,Brazilian,Male,1924,2011,7,"{""Photography"": 7}"
Francisco Farreras,Spanish,Male,1927,-1,1,"{""Drawings"": 1}"
Dwain Faubion,American,Male,1921,2002,1,"{""Photography"": 1}"
Nicolas Faure,Swiss,Male,1949,-1,8,"{""Photography"": 8}"
Louis Faurer,American,Male,1916,2001,13,"{""Photography"": 13}"
Arthur Fauser,German,Male,1911,-1,1,"{""Prints & Illustrated Books"": 1}"
Hermann Fauser,German,Male,1874,1947,2,"{""Architecture & Design"": 2}"
Jean Fautrier,French,Male,1898,1964,46,"{""Prints & Illustrated Books"": 45, ""Painting & Sculpture"": 1}"
Philippe Favier,French,Male,1957,-1,1,"{""Prints & Illustrated Books"": 1}"
André Favory,French,Male,1888,1937,2,"{""Prints & Illustrated Books"": 2}"
Louis Favre,French,Male,1892,1956,29,"{""Prints & Illustrated Books"": 29}"
John Fawcett,American,Male,1939,-1,1,"{""Drawings"": 1}"
Carlos Faz Caimus,Chilean,Male,1931,1953,1,"{""Prints & Illustrated Books"": 1}"
Pericle Fazzini,Italian,Male,1913,1987,1,"{""Painting & Sculpture"": 1}"
Helmut Federle,Swiss,Male,1944,-1,3,"{""Drawings"": 3}"
Paul Feeley,American,Male,1910,1966,3,"{""Drawings"": 1, ""Painting & Sculpture"": 2}"
Hans Feibusch,British,Male,1898,1998,1,"{""Architecture & Design"": 1}"
Friedrich Feigl,Czech,Male,1884,1965,3,"{""Prints & Illustrated Books"": 3}"
Philip Fein,American,Male,1912,1994,2,"{""Photography"": 2}"
Idelle L. Feinberg,American,Female,1932,-1,1,"{""Drawings"": 1}"
Ed Feingersh,American,Male,1925,1961,2,"{""Photography"": 2}"
Andreas Feininger,American,Male,1906,1999,19,"{""Photography"": 19}"
Lyonel Feininger,American,Male,1871,1956,224,"{""Prints & Illustrated Books"": 139, ""Drawings"": 74, ""Painting & Sculpture"": 5, ""Photography"": 1, ""Architecture & Design"": 5}"
Theodore Lux Feininger,American,Male,1910,2011,7,"{""Photography"": 6, ""Painting & Sculpture"": 1}"
Harold Feinstein,American,Male,1931,2015,2,"{""Photography"": 2}"
Rochelle Feinstein,American,Female,1947,-1,1,"{""Prints & Illustrated Books"": 1}"
Lorser Feitelson,American,Male,1898,1978,1,"{""Painting & Sculpture"": 1}"
Eugene Feldman,American,Male,1921,-1,6,"{""Architecture & Design"": 2, ""Prints & Illustrated Books"": 4}"
Walter Feldman,American,Male,1925,-1,2,"{""Prints & Illustrated Books"": 2}"
Mark Feldstein,American,Male,1937,-1,1,"{""Photography"": 1}"
Conrad Felixmüller,German,Male,1897,1977,16,"{""Prints & Illustrated Books"": 16}"
Weegee (Arthur Fellig),American,Male,1899,1968,22,"{""Photography"": 22}"
Sandi Fellman,American,Female,1952,-1,2,"{""Photography"": 1, ""Prints & Illustrated Books"": 1}"
Frances Felten,American,Female,1905,1976,2,"{""Architecture & Design"": 2}"
Jonas J. Fendell,American,Male,1924,1994,1,"{""Prints & Illustrated Books"": 1}"
Albert Fenn,American,Male,1912,-1,2,"{""Photography"": 2}"
Roger Fenton,British,Male,1819,1869,25,"{""Photography"": 25}"
Serge (Comte Serge Jastrebzoff) Férat,French,Male,1881,1958,1,"{""Prints & Illustrated Books"": 1}"
Herbert Ferber,American,Male,1906,1991,19,"{""Drawings"": 14, ""Painting & Sculpture"": 5}"
Gerald Ferguson,American,Male,1937,-1,3,"{""Prints & Illustrated Books"": 3}"
Agustín Fernández,Cuban,Male,1928,2006,18,"{""Prints & Illustrated Books"": 12, ""Drawings"": 4, ""Painting & Sculpture"": 2}"
Justino Fernández,Mexican,Male,1904,-1,1,"{""Prints & Illustrated Books"": 1}"
Gabriel Fernández Ledesma,Mexican,Male,1900,1982,2,"{""Architecture & Design"": 1, ""Prints & Illustrated Books"": 1}"
Jackie Ferrara,American,Female,1929,-1,5,"{""Drawings"": 3, ""Prints & Illustrated Books"": 1, ""Painting & Sculpture"": 1}"
León Ferrari,Argentine,Male,1920,2013,54,"{""Prints & Illustrated Books"": 35, ""Drawings"": 14, ""Painting & Sculpture"": 2, ""Photography"": 3}"
John Ferren,American,Male,1905,1970,3,"{""Prints & Illustrated Books"": 1, ""Painting & Sculpture"": 2}"
Rafael Ferrer,American,Male,1933,-1,3,"{""Prints & Illustrated Books"": 1, ""Photography"": 2}"
Roger C. Ferri,American,Male,1949,1991,4,"{""Architecture & Design"": 3, ""Drawings"": 1}"
Helene Fesenmaier,American,Female,1937,2013,15,"{""Prints & Illustrated Books"": 14, ""Drawings"": 1}"
William Fett,American,Male,1918,2006,2,"{""Drawings"": 2}"
Rainer Fetting,German,Male,1949,-1,3,"{""Prints & Illustrated Books"": 3}"
Jed Robert Fielding,American,Male,1953,-1,1,"{""Photography"": 1}"
Ernest Fiene,American,Male,1894,1965,11,"{""Prints & Illustrated Books"": 10, ""Painting & Sculpture"": 1}"
Pedro Figari,Uruguayan,Male,1861,1938,1,"{""Drawings"": 1}"
Charles Filiger,French,Male,1863,1928,1,"{""Prints & Illustrated Books"": 1}"
Robert Filliou,French,Male,1926,1987,39,"{""Drawings"": 1, ""Prints & Illustrated Books"": 38}"
Albert M. Fine,American,Male,1932,1987,20,"{""Prints & Illustrated Books"": 20}"
Harvey J. Finison,American,Male,1916,-1,2,"{""Architecture & Design"": 2}"
Aaron Fink,American,Male,1955,-1,1,"{""Prints & Illustrated Books"": 1}"
Larry Fink,American,Male,1941,-1,31,"{""Photography"": 31}"
Ian Hamilton Finlay,British,Male,1925,2006,35,"{""Prints & Illustrated Books"": 35}"
Howard Finster,American,Male,1916,-1,1,"{""Prints & Illustrated Books"": 1}"
M. Fiorini,Algerian,Male,1922,2008,1,"{""Prints & Illustrated Books"": 1}"
Vittorio Fiorucci,Canadian,Male,1931,-1,2,"{""Architecture & Design"": 2}"
Ida E. Fischer,American,Female,1883,1956,1,"{""Painting & Sculpture"": 1}"
Lothar Fischer,Nationality unknown,Male,1933,-1,1,"{""Architecture & Design"": 1}"
R. M. Fischer,American,Male,1947,-1,1,"{""Painting & Sculpture"": 1}"
Fritz Fischer-Nosbisch,German,Male,1919,-1,1,"{""Architecture & Design"": 1}"
Eric Fischl,American,Male,1948,-1,24,"{""Prints & Illustrated Books"": 21, ""Drawings"": 1, ""Painting & Sculpture"": 2}"
Hans Fischli,Swiss,Male,1909,1989,1,"{""Prints & Illustrated Books"": 1}"
Janet Fish,American,Female,1938,-1,2,"{""Prints & Illustrated Books"": 2}"
Vernon Fisher,American,Male,1943,-1,2,"{""Prints & Illustrated Books"": 2}"
Dean L. Fisher,American,Male,1923,-1,1,"{""Architecture & Design"": 1}"
Joel Fisher,American,Male,1947,-1,1,"{""Painting & Sculpture"": 1}"
Stanley Fisher,American,Male,1925,-1,1,"{""Prints & Illustrated Books"": 1}"
W. Grancel Fitz,American,Male,1894,1963,3,"{""Photography"": 3}"
Salvatore Fiume,Italian,Male,1915,1997,1,"{""Painting & Sculpture"": 1}"
Audrey Flack,American,Female,1931,-1,3,"{""Prints & Illustrated Books"": 2, ""Painting & Sculpture"": 1}"
James Montgomery Flagg,American,Male,1877,1960,7,"{""Architecture & Design"": 7}"
Barry Flanagan,British,Male,1941,2009,6,"{""Prints & Illustrated Books"": 4, ""Painting & Sculpture"": 2}"
John Flannagan,American,Male,1898,1942,6,"{""Drawings"": 5, ""Painting & Sculpture"": 1}"
Dan Flavin,American,Male,1933,1996,28,"{""Drawings"": 10, ""Prints & Illustrated Books"": 12, ""Painting & Sculpture"": 6}"
Karl Anton Fleck,Austrian,Male,1928,1983,1,"{""Drawings"": 1}"
Adolf Richard Fleischmann,German,Male,1892,1969,4,"{""Prints & Illustrated Books"": 3, ""Painting & Sculpture"": 1}"
Trude Fleischmann,American,Female,1895,1990,2,"{""Photography"": 2}"
Alan Fletcher,British,Male,1931,-1,1,"{""Architecture & Design"": 1}"
Claude Flight,British,Male,1881,1955,3,"{""Prints & Illustrated Books"": 3}"
Albert (Albert Mentzel) Flocon,French,Male,1909,1946,14,"{""Prints & Illustrated Books"": 14}"
Eduard Flor,Dutch,Male,1925,-1,8,"{""Prints & Illustrated Books"": 8}"
Thomas Florschuetz,German,Male,1957,-1,4,"{""Photography"": 4}"
Richard A. Florsheim,American,Male,1916,1979,15,"{""Prints & Illustrated Books"": 15}"
Pierre Flouquet,French,Male,1900,1967,1,"{""Prints & Illustrated Books"": 1}"
Jean Follett,American,Female,1917,1991,1,"{""Painting & Sculpture"": 1}"
Jean-Michel Folon,Belgian,Male,1934,-1,5,"{""Architecture & Design"": 5}"
Danny Ho Fong,American,Male,1915,1992,1,"{""Architecture & Design"": 1}"
Lucio Fontana,Italian,Male,1899,1968,33,"{""Architecture & Design"": 2, ""Prints & Illustrated Books"": 25, ""Drawings"": 3, ""Painting & Sculpture"": 3}"
Joan Fontcuberta,Spanish,Male,1955,-1,7,"{""Photography"": 7}"
Ernesto Fontecilla,Chilean,Male,1938,-1,5,"{""Drawings"": 1, ""Prints & Illustrated Books"": 4}"
Jean-Louis Forain,French,Male,1852,1931,5,"{""Prints & Illustrated Books"": 5}"
Lauren Ford,American,Female,1891,1973,1,"{""Prints & Illustrated Books"": 1}"
Günther Förg,German,Male,1952,2013,61,"{""Prints & Illustrated Books"": 18, ""Drawings"": 38, ""Photography"": 2, ""Painting & Sculpture"": 3}"
Leander Fornas,American,Male,1925,2014,4,"{""Prints & Illustrated Books"": 4}"
Raquel Forner,Argentine,Female,1902,1988,3,"{""Drawings"": 1, ""Prints & Illustrated Books"": 1, ""Painting & Sculpture"": 1}"
James Forsberg,American,Male,1919,1991,8,"{""Drawings"": 1, ""Prints & Illustrated Books"": 7}"
Jan Forsberg,Swedish,Male,1932,-1,6,"{""Prints & Illustrated Books"": 6}"
Clyde Forsythe,American,Male,1885,1962,1,"{""Architecture & Design"": 1}"
Karl Fortess,American,Male,1907,1993,1,"{""Prints & Illustrated Books"": 1}"
Michel Fortier,Canadian,Male,1943,-1,1,"{""Prints & Illustrated Books"": 1}"
Mariano Fortuny Y Madrazo,Spanish,Male,1871,1949,1,"{""Architecture & Design"": 1}"
Christian Fossier,French,Male,1943,2013,3,"{""Prints & Illustrated Books"": 3}"
Steven D. Foster,American,Male,1945,-1,2,"{""Photography"": 2}"
Fougasse (Cyril Kenneth Bird),British,Male,1887,1965,10,"{""Architecture & Design"": 10}"
André Fougeron,French,Male,1913,1998,10,"{""Prints & Illustrated Books"": 9, ""Drawings"": 1}"
Tsugouharu Foujita,Japanese,Male,1886,1969,4,"{""Prints & Illustrated Books"": 4}"
Llyn Foulkes,American,Male,1934,-1,2,"{""Painting & Sculpture"": 2}"
Gabriel Fournier,French,Male,1893,1963,1,"{""Prints & Illustrated Books"": 1}"
Sheila Fournier,British,Female,1930,2000,2,"{""Architecture & Design"": 2}"
Richard Alan Fox,American,Male,1949,-1,1,"{""Photography"": 1}"
Terry Fox,American,Male,1943,2008,4,"{""Prints & Illustrated Books"": 2, ""Media and Performance Art"": 2}"
Hollis Frampton,American,Male,1936,1984,7,"{""Photography"": 1, ""Prints & Illustrated Books"": 1, ""Film"": 5}"
Mercedes Franchini,Italian,Male,1895,-1,1,"{""Architecture & Design"": 1}"
Sam Francis,American,Male,1923,1994,59,"{""Prints & Illustrated Books"": 55, ""Drawings"": 1, ""Painting & Sculpture"": 3}"
Richard Francisco,American,Male,1942,-1,1,"{""Drawings"": 1}"
Kaj Franck,Finnish,Male,1911,1989,39,"{""Architecture & Design"": 39}"
Martine Franck,Belgian,Female,1938,2012,9,"{""Photography"": 9}"
Huguette Franco,French,Female,1944,-1,2,"{""Prints & Illustrated Books"": 2}"
Josef Frank,Swedish,Male,1885,1967,3,"{""Architecture & Design"": 3}"
Mary Frank,American,Female,1933,-1,4,"{""Prints & Illustrated Books"": 4}"
Robert Frank,American,Male,1924,-1,234,"{""Photography"": 202, ""Prints & Illustrated Books"": 1, ""Film"": 31}"
Helen Frankenthaler,American,Female,1928,2011,61,"{""Architecture & Design"": 1, ""Prints & Illustrated Books"": 53, ""Drawings"": 2, ""Painting & Sculpture"": 5}"
Antonio Frasconi,American,Male,1919,2013,257,"{""Architecture & Design"": 4, ""Prints & Illustrated Books"": 252, ""Drawings"": 1}"
Claud Lovat Fraser,British,Male,1890,1921,1,"{""Drawings"": 1}"
Gianfranco Frattini,Italian,Male,1926,2004,3,"{""Architecture & Design"": 3}"
Charles Ray Frazier,American,Male,1930,-1,1,"{""Drawings"": 1}"
Karl Free,American,Male,1903,1947,25,"{""Drawings"": 25}"
Arthur Freed,American,Male,1936,-1,1,"{""Photography"": 1}"
David Freed,American,Male,1936,-1,1,"{""Prints & Illustrated Books"": 1}"
John Freeman,American,Male,1942,-1,4,"{""Drawings"": 4}"
Mark Freeman,American,Male,1908,-1,1,"{""Prints & Illustrated Books"": 1}"
Jane Freilicher,American,Female,1924,2014,4,"{""Architecture & Design"": 1, ""Prints & Illustrated Books"": 3}"
Jared French,American,Male,1905,1988,23,"{""Drawings"": 23}"
Leonard French,Australian,Male,1928,-1,1,"{""Painting & Sculpture"": 1}"
Ray H. French,American,Male,1919,-1,1,"{""Prints & Illustrated Books"": 1}"
Lucian Freud,British,Male,1922,2011,22,"{""Drawings"": 7, ""Prints & Illustrated Books"": 13, ""Painting & Sculpture"": 2}"
David Freund,American,Male,1937,-1,1,"{""Photography"": 1}"
Peter Freudenthal,Swedish,Male,1938,-1,20,"{""Prints & Illustrated Books"": 20}"
Otto Freundlich,German,Male,1878,1943,4,"{""Drawings"": 1, ""Painting & Sculpture"": 2, ""Prints & Illustrated Books"": 1}"
Mary E. Frey,American,Female,1948,-1,9,"{""Photography"": 9}"
Robert Fried,American,Male,1937,1975,6,"{""Prints & Illustrated Books"": 6}"
Elias Friedensohn,American,Male,1924,-1,2,"{""Prints & Illustrated Books"": 2}"
Johnny Friedlaender,German,Male,1912,-1,1,"{""Prints & Illustrated Books"": 1}"
Lee Friedlander,American,Male,1934,-1,1317,"{""Photography"": 1317}"
Arnold Friedman,American,Male,1879,1946,5,"{""Prints & Illustrated Books"": 3, ""Painting & Sculpture"": 2}"
Benno Friedman,American,Male,1945,-1,5,"{""Photography"": 4, ""Prints & Illustrated Books"": 1}"
Dan Friedman,American,Male,1945,-1,1,"{""Architecture & Design"": 1}"
Julius K. Friedman,American,Male,1943,-1,6,"{""Architecture & Design"": 6}"
Ken Friedman,American,Male,1939,-1,23,"{""Prints & Illustrated Books"": 23}"
Robert N. Friedman,American,Male,1948,-1,1,"{""Photography"": 1}"
Susan Friedman,American,Female,1941,-1,2,"{""Photography"": 2}"
Hartmut Friedrich,German,Male,1935,-1,1,"{""Drawings"": 1}"
Othon Friesz,French,Male,1879,1949,43,"{""Prints & Illustrated Books"": 43}"
Elisabeth Frink,British,Female,1930,1993,2,"{""Drawings"": 2}"
Francis Frith,British,Male,1822,1898,173,"{""Photography"": 173}"
Katharina Fritsch,German,Female,1956,-1,8,"{""Prints & Illustrated Books"": 6, ""Painting & Sculpture"": 2}"
A. G. Fronzoni,Italian,Male,1923,2002,56,"{""Architecture & Design"": 56}"
Roger Fry,British,Male,1866,1934,1,"{""Drawings"": 1}"
Stephen Frykholm,American,Male,1942,-1,13,"{""Architecture & Design"": 13}"
Hakuyo Fuchigami,Japanese,Male,1889,1960,3,"{""Photography"": 3}"
Ernst Fuchs,Austrian,Male,1930,2015,4,"{""Prints & Illustrated Books"": 4}"
Masahisa Fukase,Japanese,Male,1934,2012,8,"{""Photography"": 8}"
Fukita Fumiaki,Japanese,Male,1926,-1,2,"{""Prints & Illustrated Books"": 2}"
Katsuji Fukuda,Japanese,Male,1898,-1,1,"{""Photography"": 1}"
Shigeo Fukuda,Japanese,Male,1932,2009,4,"{""Architecture & Design"": 4}"
Fukuhara Roso,Japanese,Male,1892,1946,3,"{""Photography"": 3}"
Fukui Ryonosuko,Japanese,Male,1924,1986,2,"{""Prints & Illustrated Books"": 2}"
R. Buckminster Fuller,American,Male,1895,1983,34,"{""Architecture & Design"": 11, ""Prints & Illustrated Books"": 23}"
Emily Fuller,American,Female,1941,-1,2,"{""Drawings"": 1, ""Prints & Illustrated Books"": 1}"
Sue Fuller,American,Female,1914,2006,2,"{""Prints & Illustrated Books"": 2}"
Hamish Fulton,British,Male,1946,-1,13,"{""Prints & Illustrated Books"": 11, ""Drawings"": 2}"
Barbara E. Fumagalli,American,Female,1926,-1,1,"{""Prints & Illustrated Books"": 1}"
Eugen Funk,German,Male,1911,2004,1,"{""Architecture & Design"": 1}"
Jaromír Funke,Czech,Male,1896,1945,6,"{""Photography"": 6}"
Albert Fuss,German,Male,1889,1969,1,"{""Architecture & Design"": 1}"
Adam Fuss,British,Male,1961,-1,1,"{""Photography"": 1}"
Simon Fussell,British,Male,1945,-1,1,"{""Architecture & Design"": 1}"
Naum Gabo,American,Male,1890,1977,6,"{""Prints & Illustrated Books"": 1, ""Painting & Sculpture"": 4, ""Architecture & Design"": 1}"
Ada V. Gabriel,American,Female,1898,1975,1,"{""Prints & Illustrated Books"": 1}"
Johannes Gachnang,Swiss,Male,1939,2005,15,"{""Prints & Illustrated Books"": 15}"
Wolfgang Gäfgen,German,Male,1936,-1,19,"{""Prints & Illustrated Books"": 19}"
Wanda Gág,American,Female,1893,1946,14,"{""Drawings"": 1, ""Prints & Illustrated Books"": 13}"
Robert Gage,American,Male,1921,2000,6,"{""Architecture & Design"": 6}"
Oliver Gagliani,American,Male,1917,-1,1,"{""Photography"": 1}"
Vasudeo S. Gaitonde,Indian,Male,1924,2001,1,"{""Painting & Sculpture"": 1}"
Jacek Gaj,Polish,Male,1938,-1,6,"{""Prints & Illustrated Books"": 6}"
Démétrius Emmanuel Galanis,French,Male,1882,1966,39,"{""Prints & Illustrated Books"": 39}"
Galo Galecio,Ecuadorian,Male,1908,1993,3,"{""Prints & Illustrated Books"": 3}"
Zvi Gali,Israeli,Male,1924,1961,1,"{""Painting & Sculpture"": 1}"
A. E. Gallatin,American,Male,1881,1952,2,"{""Photography"": 1, ""Painting & Sculpture"": 1}"
Emile Gallé,French,Male,1846,1904,3,"{""Architecture & Design"": 3}"
Akseli Gallen-Kallela,Finnish,Male,1865,1931,1,"{""Architecture & Design"": 1}"
Frank Gallo,American,Male,1933,-1,1,"{""Painting & Sculpture"": 1}"
Giuseppe Gallo,Italian,Male,1954,-1,2,"{""Drawings"": 2}"
Christina Galvez,Peruvian,Female,1918,1982,1,"{""Drawings"": 1}"
José Gamarra,Uruguayan,Male,1934,-1,2,"{""Prints & Illustrated Books"": 2}"
Abram Games,British,Male,1914,1996,53,"{""Architecture & Design"": 53}"
David Gammon,British,Male,1933,2005,1,"{""Architecture & Design"": 1}"
Aleksei Gan (Hahn),Russian,Male,1889,1940,3,"{""Architecture & Design"": 3}"
Paul Gangolf,German,Male,1879,1936,7,"{""Prints & Illustrated Books"": 7}"
